title,genres,spoken languages,produdction countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
The Woman Who Loves Giraffes,Documentary,,"Canada, South Africa, United States of America",https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,"This warm documentary uses one woman’s singular passion to fuel a tale of zoological discovery, blatant sexism and environmental alarm.",The New York Times,"subject: Documentary Films and Programs;subject: Giraffes;creative_works: The Woman Who Loves Giraffes (Movie);persons: Dagg, Anne Innis;persons: Reid, Alison (Filmmaker);",2020-01-09T12:00:04+0000,279.0,‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,,,A Special Spot  In Her Heart,,,,By Jeannette Catsoulis,
Η Μαύρη Εμμανουέλα,"Crime, Drama, Thriller","ελληνικά, Italiano","Cyprus, Greece",,,,,,,,,,,,,,,
Marriage Story,Drama,English,United Kingdom,https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,"Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.",The New York Times,"subject: Movies;persons: Baumbach, Noah;creative_works: Marriage Story (Movie);persons: Driver, Adam;persons: Johansson, Scarlett;persons: ALDA, ALAN;persons: Dern, Laura;persons: Liotta, Ray;",2019-11-05T19:01:02+0000,1244.0,‘Marriage Story’ Review: Dance Me to the End of Love,critic’s pick,,"Friendly Split, Shattering Break",,,,By A.O. Scott,
Edmond,"Comedy, History","Français, Pусский","Belgium, France",,,,,,,,,,,,,,,
Pretenders,Drama,English,United States of America,https://www.nytimes.com/2019/10/03/movies/pretenders-review.html,"Directed by James Franco and featuring James Franco, this film indulges in a distasteful brand of nostalgia.",The New York Times,"subject: Movies;persons: Franco, James;creative_works: Pretenders (Movie);",2019-10-03T11:00:07+0000,276.0,"‘Pretenders’ Review: A Little New Wave Love, a Lot of Misogyny",,,Pretenders,,,,By Glenn Kenny,
First Love,"Romance, Drama","English, Português",United States of America,https://www.nytimes.com/2019/09/26/movies/first-love-review.html,The prolific director Takashi Miike delivers an unusually satisfying Japanese genre romp.,The New York Times,"subject: Movies;persons: Miike, Takashi;creative_works: First Love (Movie);",2019-09-26T11:00:06+0000,398.0,‘First Love’ Review: Eluding Assassins With the Help of a Boxer,Critic’s Pick,,"Assassin Variations, by Way of Japan",,,,By Glenn Kenny,
Loro,Drama,Italiano,"France, Italy",https://www.nytimes.com/2019/09/19/movies/loro-review.html,Toni Servillo plays the former Italian Prime Minister Silvio Berlusconi in Paolo Sorrentino’s extravagant portrait.,The New York Times,"subject: Movies;creative_works: Loro (Movie);persons: Servillo, Toni;persons: Sorrentino, Paolo;persons: Berlusconi, Silvio;glocations: Italy;",2019-09-19T17:27:07+0000,820.0,"‘Loro’ Review: A Corrupt Leader, and the People Who Love Him",,,Corruption and Charisma Personified,,,,By A.O. Scott,
Falling Inn Love,"Romance, Comedy",English,United States of America,https://www.nytimes.com/2019/08/29/movies/falling-inn-love-review.html,"It’s hard to find a reliable, talented, reasonably priced, eco-friendly contractor these days.",The New York Times,"subject: Movies;organizations: Netflix Inc;persons: Kumble, Roger;persons: Milian, Christina;persons: Demos, Adam;creative_works: Falling Inn Love (Movie);",2019-08-29T14:56:44+0000,374.0,‘Falling Inn Love’ Review: A Prize That Needs Some Work,Streaming Movie Review,,A Fine Romance to Watch While Sorting Socks,,,,By Helen T. Verongos,
Hot Air,Drama,English,United States of America,https://www.nytimes.com/2019/08/22/movies/hot-air-review.html,Steve Coogan stars in this cumbersome political comedy.,The New York Times,"subject: Movies;persons: Coogan, Steve;persons: Coraci, Frank;creative_works: Hot Air (Movie);persons: Campbell, Neve;",2019-08-22T15:50:09+0000,266.0,‘Hot Air’ Review: A Right-Wing Radio Host Learns to Love Again,,,Hot Air,,,,By Bilge Ebiri,
"Love, Antosha",Documentary,"English, Pусский",United States of America,https://www.nytimes.com/2019/08/08/movies/love-anthosa-review.html,"Anton Yelchin, who played Chekov in the J.J. Abrams-produced “Star Trek” films, assembled an eclectic filmography before his death at 27 in 2016.",The New York Times,"subject: Documentary Films and Programs;creative_works: Love, Antosha (Movie);persons: Price, Garret;persons: Yelchin, Anton;",2019-08-08T09:00:10+0000,319.0,"‘Love, Antosha’ Review: A Heartbreaking Look at an Actor’s Too-Short Life",Critic’s Pick,,"Love, Antosha",,,,By Glenn Kenny,
Leto,"Family, Drama, TV Movie",,Yugoslavia,https://www.nytimes.com/2019/06/06/movies/leto-review.html,Kirill Serebrennikov’s gentle mood piece brings an underground music scene to vivid life.,The New York Times,"subject: Music;creative_works: Leto (Movie);persons: Serebrennikov, Kirill S;",2019-06-06T11:00:02+0000,283.0,‘Leto’ Review: Love and Rock in Leningrad,Critic’s Pick,,Leto,,,,By Jeannette Catsoulis,
The Tomorrow Man,"Drama, Romance",English,United States of America,https://www.nytimes.com/2019/05/21/movies/the-tomorrow-man-review.html,Blythe Danner and John Lithgow strain to elevate this twee late-life romance.,The New York Times,"subject: Movies;creative_works: The Tomorrow Man (Movie);persons: Danner, Blythe;persons: Lithgow, John;persons: Jones, Noble;",2019-05-21T11:00:01+0000,280.0,‘The Tomorrow Man’ Review: Love Among the Neuroses,,,"They Whirl, They Twirl, They Tango",,,,By Jeannette Catsoulis,
寝ても覚めても,"Drama, Romance","日本語, English",Japan,,,,,,,,,,,,,,,
The Sun Is Also a Star,"Romance, Drama",English,United States of America,https://www.nytimes.com/2019/05/15/movies/the-sun-is-also-a-star-review.html,"Yara Shahidi and Charles Melton play teenagers falling in love on a hectic, sunny day in New York.",The New York Times,"subject: Movies;creative_works: The Sun Is also a Star (Movie);persons: Russo-Young, Ry;persons: Shahidi, Yara (2000- );persons: Yoon, Nicola (Author);persons: Melton, Charles (1991- );",2019-05-15T16:01:27+0000,697.0,"‘The Sun Is Also a Star’ Review: A Charming, if Generic, Adolescent Love Story",,,A Beautiful Day for Young Hearts,,,,By A.O. Scott,
Shéhérazade,"Drama, Thriller, Romance",Français,France,https://www.nytimes.com/2019/05/10/movies/sheherazade-review.html,The options are few and most of them involve risk or further deprivation for these French teenagers who face the world with little support.,The New York Times,"subject: Movies;organizations: Netflix Inc;creative_works: Sheherazade (Movie);persons: Marlin, Jean-Bernard;",2019-05-10T11:00:01+0000,350.0,‘Shéhérazade’ Review: Love in the Mean Streets of Marseille,Streaming Movie Review,,,,,,By Helen T. Verongos,
Long Shot,"Comedy, Romance","Français, English, svenska",United States of America,https://www.nytimes.com/2019/05/02/movies/long-shot-review.html,The improbably yet perfectly paired stars play old friends who unexpectedly find love in this charming (and a bit vulgar) romantic comedy.,The New York Times,"subject: Movies;subject: Comedy and Humor;persons: Odenkirk, Bob;persons: Rogen, Seth;persons: Theron, Charlize;creative_works: Long Shot (Movie);persons: Levine, Jonathan A (1976- );",2019-05-02T17:43:25+0000,1025.0,‘Long Shot’ Review: Charlize Theron and Seth Rogen Give Good Heart,Critic’s Pick,,Beating the Odds for Love and Bliss,,,,By Manohla Dargis,
Clara,"Science Fiction, Drama, Romance","Español, English",Canada,https://www.nytimes.com/2019/05/02/movies/clara-review.html,A ruthless empiricist searching for life beyond Earth learns a thing or two about life on the planet.,The New York Times,"subject: Movies;creative_works: Clara (Movie);persons: Adams, Patrick J;persons: Esmer, Ennis (1978- );persons: Sherman, Akash;",2019-05-02T11:00:04+0000,256.0,‘Clara’ Review: Love Means Never Having to Say You’re Starry,,,Clara,,,,By Ben Kenigsberg,
कलंक,"Drama, Romance",हिन्दी,India,,,,,,,,,,,,,,,
Rafiki,"Drama, Romance","Kiswahili, English","Kenya, South Africa",https://www.nytimes.com/2019/04/18/movies/rafiki-review.html,The story of a romance between two Kenyan women was shown at Cannes after being banned in Kenya.,The New York Times,"subject: Movies;persons: Kahiu, Wanuri;creative_works: Rafiki (Movie);persons: Mugatsia, Samantha;persons: Munyiva, Sheila;",2019-04-18T11:00:06+0000,251.0,"‘Rafiki’ Review: Falling in Love, Illegally",,,Rafiki,,,,By Ben Kenigsberg,
Diane,"Drama, History, Romance",English,United States of America,https://www.nytimes.com/2019/03/28/movies/diane-review.html,"Mary Kay Place is astonishing as a weary widow dealing with guilt, heartache and a diminishing circle of friends.",The New York Times,"subject: Movies;creative_works: Diane (Movie);persons: Jones, Kent;persons: Place, Mary Kay;persons: Parsons, Estelle;persons: Martin, Andrea (1947- );",2019-03-28T11:00:01+0000,511.0,"‘Diane’ Review: A Vibrant Tale of Love, Sisterhood and Decline",Critic’s Pick,,"A Vibrant Tale of Love, Sisterhood and Decline",,,,By Jeannette Catsoulis,
Five Feet Apart,"Romance, Drama","English, Français, Español",United States of America,https://www.nytimes.com/2019/03/14/movies/five-feet-apart-review.html,Haley Lu Richardson and Cole Sprouse navigate the rules of attraction and of a hospital in this film about living with cystic fibrosis.,The New York Times,"subject: Movies;creative_works: Five Feet Apart (Movie);persons: Baldoni, Justin;",2019-03-14T13:00:07+0000,258.0,‘Five Feet Apart’ Review: Ailing Teenagers Live Dangerously for Love,,,Five Feet Apart,,,,By Ben Kenigsberg,
江湖儿女,"Crime, Romance, Drama",普通话,"France, Japan, China",,,,,,,,,,,,,,,
Gloria Bell,"Drama, Romance",English,"Chile, United States of America",https://www.nytimes.com/2019/03/07/movies/gloria-bell-review.html,The Chilean writer-director Sebastián Lelio finds a perfect partner in Moore for this fantastic remake of his 2013 movie “Gloria.”,The New York Times,"subject: Movies;creative_works: Gloria Bell (Movie);persons: Moore, Julianne;persons: Turturro, John;persons: Lelio, Sebastian;",2019-03-07T18:49:47+0000,991.0,‘Gloria Bell’ Review: Love Is in the Air for a Transcendent Julianne Moore,Critic’s Pick,,"Love, and Some Laughter, Is in the Air",,,,By Manohla Dargis,
Black Mother,Documentary,English,United States of America,https://www.nytimes.com/2019/03/06/movies/black-mother-review.html,"In Khalik Allah’s poetic movie, the most prevalent perspective is not that of a documentarian, but of a filmmaker’s love.",The New York Times,"subject: Documentary Films and Programs;persons: Allah, Khalik (1985- );creative_works: Black Mother (Movie);",2019-03-06T18:30:16+0000,380.0,‘Black Mother’ Review: Exploring the Roots of Life Itself,Critic’s Pick,,"Exploring the Roots of Life Itself, With Love",,,,By Glenn Kenny,
The Hole in the Ground,Horror,English,"Belgium, Finland, Ireland, United Kingdom",https://www.nytimes.com/2019/02/28/movies/the-hole-in-the-ground-review.html,"Something strange is going on in the Irish countryside, and it’s not just the giant roiling pit of dirt.",The New York Times,"subject: Movies;creative_works: The Hole in the Ground (Movie);persons: Cronin, Lee (Film Director);",2019-02-28T12:00:09+0000,291.0,‘The Hole in the Ground’ Review: A Horror Film Is Suffocated by a Mother’s Love,,,The Hole  in the Ground,,,,By Teo Bugbee,
How to Train Your Dragon: The Hidden World,"Animation, Family, Adventure",English,United States of America,https://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,The third in this franchise concerns the exigencies that poor Hiccup must face as the leader of Berk.,The New York Times,"subject: Movies;persons: DeBlois, Dean;persons: Baruchel, Jay;persons: ABRAHAM, F MURRAY;persons: Ferrera, America;creative_works: How to Train Your Dragon: The Hidden World (Movie);",2019-02-21T00:02:36+0000,531.0,‘How to Train Your Dragon: The Hidden World’ Review: A Series Scales Up,,,Love Takes Wing Amid Trouble in Utopia,,,,By Ben Kenigsberg,
A Tuba To Cuba,"Documentary, Music, History",English,"Cuba, United States of America",,,,,,,,,,,,,,,
Fighting with My Family,Comedy,English,"United Kingdom, United States of America",,,,,,,,,,,,,,,
"Plaire, aimer et courir vite","Comedy, Drama, Romance","Français, Español",France,,,,,,,,,,,,,,,
"Berlin, I Love You",Drama,"English, Deutsch","Germany, United States of America",https://www.nytimes.com/2019/02/07/movies/berlin-i-love-you-review.html,"The once-divided nature of Berlin isn’t given much consideration in this film, part of the Cities of Love series.",The New York Times,"subject: Movies;creative_works: Berlin, I Love You (Movie);persons: Agron, Dianna;persons: Knightley, Keira;persons: Luna, Diego;persons: Mirren, Helen;persons: Rourke, Mickey;persons: Wilson, Luke;",2019-02-07T12:00:01+0000,227.0,"‘Berlin, I Love You’ Review: Many Stories, Not Much Feeling",,,"Berlin, I Love You",,,,By Glenn Kenny,
Untogether,"Comedy, Drama",English,United States of America,https://www.nytimes.com/2019/02/07/movies/untogether-review.html,Jemima Kirke and Lola Kirke play damaged siblings in this exasperatingly affected romantic drama from Emma Forrest.,The New York Times,"subject: Movies;persons: Dornan, Jamie;persons: Kirke, Jemima;persons: Kirke, Lola;creative_works: Untogether (Movie);persons: Forrest, Emma;",2019-02-07T12:00:01+0000,269.0,"‘Untogether’ Review: Adrift in Los Angeles, Looking for Love",,,Untogether,,,,By Jeannette Catsoulis,
Zimna wojna,"Drama, Romance, War, Music","Deutsch, Hrvatski, Français, Italiano, Polski, Pусский","France, Poland, United Kingdom",,,,,,,,,,,,,,,
If Beale Street Could Talk,"Romance, Drama",English,United States of America,https://www.nytimes.com/2018/12/12/movies/if-beale-street-could-talk-review.html,"The couple in this adaptation of James Baldwin’s novel are loving while black, an existential truth that is turned into a nightmare.",The New York Times,"subject: Movies;creative_works: If Beale Street Could Talk (Movie);persons: Jenkins, Barry;persons: Baldwin, James (1924-87);persons: James, Stephan (1993- );persons: Layne, KiKi;persons: Wittrock, Finn;",2018-12-12T21:30:02+0000,1057.0,‘If Beale Street Could Talk’ Review: Trusting Love in a World Ruled by Hate,Critic’s Pick,,Love Is Forced to Live in a Nightmare,,,,By Manohla Dargis,
Asher,"Thriller, Action, Drama",English,United States of America,https://www.nytimes.com/2018/12/06/movies/asher-review.html,Ron Perlman and Famke Janssen star in this film that finds a hired killer dealing with his own mortality.,The New York Times,"subject: Movies;creative_works: Asher (Movie);persons: Caton-Jones, Michael;persons: Perlman, Ron;persons: Janssen, Famke;",2018-12-06T12:00:04+0000,259.0,‘Asher’ Review: An Aging Hit Man Finds Love,,,Asher,,,,By Glenn Kenny,
The Party's Just Beginning,"Drama, Comedy",English,"United Kingdom, United States of America",,,,,,,,,,,,,,,
千王,Comedy,广州话 / 廣州話,Hong Kong,,,,,,,,,,,,,,,
Sicilian Ghost Story,"Mystery, Drama, Fantasy",Italiano,"France, Italy, Switzerland",https://www.nytimes.com/2018/11/29/movies/sicilian-ghost-story-review.html,"Flipping from bucolic to brutal with distressing ease, this beautifully realized movie views a Mafia kidnapping through the prism of first love.",The New York Times,"subject: Movies;creative_works: Sicilian Ghost Story (Movie);persons: Grassadonia, Fabio;persons: Piazza, Antonio;",2018-11-29T12:00:06+0000,258.0,‘Sicilian Ghost Story’ Review: Fairy-Tale Love Meets Real-Life Crime,Critic’s Pick,,Love in an Enchanted Forest Turns Eerie,,,,By Jeannette Catsoulis,
The New Romantic,"Drama, Comedy",English,Canada,https://www.nytimes.com/2018/11/08/movies/the-new-romantic-review.html,A college newspaper columnist writes about her experiences trading gifts for sex in a film that squanders its good will.,The New York Times,"subject: Movies;creative_works: The New Romantic (Movie);persons: Barden, Jessica (1992- );persons: Stone, Carly (Film Director);",2018-11-08T12:05:01+0000,269.0,‘The New Romantic’ Review: Experiments With Love and Money,,,The New Romantic,,,,By Teo Bugbee,
Pimp,Drama,English,United States of America,https://www.nytimes.com/2018/11/08/movies/pimp-review.html,This lurid melodrama follows a female pimp (Keke Palmer) and her girlfriend-prostitute.,The New York Times,"subject: Movies;persons: Palmer, Keke;persons: Gathegi, Edi;persons: Crokos, Christine;creative_works: Pimp (Movie);",2018-11-08T12:00:01+0000,270.0,‘Pimp’ Review: Blaxploitation and Lesbian Love,,,Pimp,,,,By Jeannette Catsoulis,
In a Relationship,"Drama, Comedy, Romance",English,"Mexico, United States of America",https://www.nytimes.com/2018/11/08/movies/in-a-relationship-review.html,"Sam Boyd’s gentle, loose-limbed romantic comedy wins no prizes for originality.",The New York Times,"subject: Movies;persons: Roberts, Emma (1991- );persons: ANGARANO, MICHAEL;persons: Hemingway, Dree (1987- );creative_works: In a Relationship (Movie);persons: Boyd, Sam (Film Director);",2018-11-08T12:00:01+0000,253.0,‘In a Relationship’ Review: Two Couples at Opposite Stages of Love,,,In a Relationship,,,,By Jeannette Catsoulis,
How to Talk to Girls at Parties,"Comedy, Music, Romance, Science Fiction",English,"United Kingdom, United States of America",https://www.nytimes.com/2018/05/24/movies/how-to-talk-to-girls-at-parties-review.html,John Cameron Mitchell’s loony romantic comedy encourages young love to bloom in the soil of an alien visitation.,The New York Times,"subject: Movies;creative_works: How to Talk to Girls at Parties (Movie);persons: Mitchell, John Cameron;persons: Fanning, Elle;persons: Sharp, Alexander;",2018-05-24T11:00:01+0000,458.0,Review: An Alien Teaches a Teenage Punk ‘How to Talk to Girls at Parties’,,,Otherworldly Love in a Punk-Rock World,,,,By Jeannette Catsoulis,
Le Redoutable,"Drama, Romance, Comedy","Český, Français, English, Italiano","Myanmar, France",,,,,,,,,,,,,,,
Outside In,Drama,English,United States of America,https://www.nytimes.com/2018/03/29/movies/outside-in-review-jay-duplass-edie-falco.html,Edie Falco and Jay Duplass connect romantically in this life-after-prison drama that prioritizes patience and pragmatism over passion.,The New York Times,"subject: Movies;creative_works: Outside In (Movie);persons: Shelton, Lynn;persons: Duplass, Jay;persons: Falco, Edie;persons: Dever, Kaitlyn;",2018-03-29T11:00:01+0000,422.0,Review: On Parole and in Love in ‘Outside In’,,,On Parole and in Love,,,,By Jeannette Catsoulis,
The Party,Comedy,English,United States of America,https://www.nytimes.com/2018/02/15/movies/the-party-review-timothy-spall-kristin-scott-thomas.html,Sally Potter directs a very fine cast in a would-be comedy about a calamitously bad evening.,The New York Times,"subject: Movies;creative_works: The Party (Movie);persons: Potter, Sally;persons: Spall, Timothy;persons: Scott Thomas, Kristin;",2018-02-15T12:00:25+0000,598.0,Review: A London Night Goes Wrong in ‘The Party’,,,"  Invite Company. Because After All, Misery Loves It.",,,,By Manohla Dargis,
L'Amant d'un jour,"Drama, Romance",Français,France,,,,,,,,,,,,,,,
God's Own Country,"Romance, Drama","English, Română",United Kingdom,,,,,,,,,,,,,,,
The Mountain Between Us,"Drama, Adventure, Romance",English,United States of America,https://www.nytimes.com/2017/10/05/movies/the-mountain-between-us-review-kate-winslet-idris-elba.html,Idris Elba and Kate Winslet crash into a mountain — and each other — in this drama.,The New York Times,"subject: Movies;creative_works: The Mountain Between Us (Movie);persons: ABU-ASSAD, HANY;persons: Elba, Idris;persons: Winslet, Kate;",2017-10-05T11:00:05+0000,272.0,Review: Love in a Cold Climate in ‘The Mountain Between Us’,,,The Mountain Between Us,,,,By Jeannette Catsoulis,
In Search of Fellini,"Drama, Adventure",English,,https://www.nytimes.com/2017/09/14/movies/in-search-of-fellini-review.html,A sheltered young woman enamored of the films of the famous director sets off to Italy to meet him.,The New York Times,"subject: Movies;creative_works: In Search of Fellini (Movie);persons: Cartwright, Nancy;persons: Solo, Ksenia;persons: Lexton, Taron;",2017-09-14T11:00:24+0000,272.0,Review: Love of Il Maestro Drives ‘In Search of Fellini’,,,In Search of Fellini,,,,By Monica Castillo,
The Last Face,Drama,"English, Português",United States of America,https://www.nytimes.com/2017/07/27/movies/the-last-face-review-charlize-theron-sean-penn.html,"In war-torn Liberia, Charlize Theron and Javier Bardem face a big problem: how to keep their knotty relationship from fizzling.",The New York Times,"subject: Movies;creative_works: The Last Face (Movie);persons: Penn, Sean;persons: Bardem, Javier;persons: Theron, Charlize;",2017-07-27T20:29:01+0000,280.0,Review: Aid Workers in Love and War in Sean Penn’s ‘The Last Face’,,,The Last Face,,,,By Glenn Kenny,
Paris pieds nus,Comedy,Français,"Belgium, France",,,,,,,,,,,,,,,
The Other Half,"Drama, Romance",English,Canada,https://www.nytimes.com/2017/03/09/movies/the-other-half-review-tatiana-maslany.html,This moody romance stars Tatiana Maslany (“Orphan Black”) as a bipolar painter in love with a brooding cabby (Tom Cullen of “Downton Abbey”).,The New York Times,"subject: Movies;creative_works: The Other Half (Movie);persons: Maslany, Tatiana;persons: Cullen, Tom (1985- );persons: Klein, Joey (Film Director);",2017-03-09T21:54:58+0000,251.0,Review: A Combustible Pair Find Love in ‘The Other Half’,,,Review: A Combustible Pair Find Love in ‘The Other Half’,,,,By Andy Webster,
The Ottoman Lieutenant,"Romance, Drama, War","Türkçe, English","Turkey, United States of America",https://www.nytimes.com/2017/03/09/movies/review-the-ottoman-lieutenant.html,A nurse travels to the Ottoman Empire on the eve of World War I. Can romance blossom amid earthshaking events?,The New York Times,"subject: Movies;creative_works: The Ottoman Lieutenant (Movie);persons: Ruben, Joseph;persons: Hartnett, Josh;persons: Stockwell, Jeff (1958- );persons: Hilmar, Hera;persons: Huisman, Michiel;",2017-03-09T21:53:12+0000,267.0,"Review: Love as the World Wars, in ‘The Ottoman Lieutenant’",,,"Review: Love as the World Wars, in ‘The Ottoman Lieutenant’",,,,By Neil Genzlinger,
